entry_id,active_metal,promoter_1,promoter_2,support,metal_loading_wt,promoter_1_loading_wt,promoter_2_loading_wt,BET_surface_area_m2_g,pore_volume_cm3_g,calcination_temp_C,reduction_temp_C,reaction_temp_C,reaction_pressure_atm,WHSV_h,H2_HC_ratio,propane_TOF_s,propane_conversion,propane_selectivity,deactivation_rate_h,reference_paper,reference_doi,notes,propane_TOF_log
58,Pt,Sn,,gamma-Al2O3,0.36,0.68,,,,,,590,,9.4,1.25,1.58,0.45,0.99,0.007,"Angew. Chem. Int. Ed. 2015, 54: 13994",https://doi.org/10.1002/anie.201507119,,0.198657086954423
59,Pt,In,,SiO2,0.3,0.06,,,,,,600,,3,1,0.207,0.17,0.99,0.073,"Chem. Sci. 9, 3925 (2018)",10.1039/C8SC00802G,,-0.684029654543082
60,Pt,Sn,,SAPO-34,0.5,1,,409,,500,500,595,,5.6,0.25,0.48,0.44,0.66,0.149,Chinese J. Catal. 31 (2010) 552,https://doi.org/10.1016/S1872-2067(09)60071-1,,-0.318758762624413
61,Pt,Sn,,gamma-Al2O3,2,0.6,,,,550,540,540,,3.5,0.33,0.09,0.39,0.94,0.02,J. Ener. Chem. 27 (2018) 311,10.1016/j.jechem.2017.09.035,,-1.04575749056068
62,Pt,Sn,,gamma-Al2O3,2,1.2,,,,550,540,540,,3.5,0.33,0.09,0.41,0.97,0.011,J. Ener. Chem. 27 (2018) 311,10.1016/j.jechem.2017.09.035,,-1.04575749056068
63,Pt,Sn,,gamma-Al2O3,2,2.4,,,,550,540,540,,3.5,0.33,0.09,0.42,0.98,0.006,J. Ener. Chem. 27 (2018) 311,10.1016/j.jechem.2017.09.035,,-1.04575749056068
64,Pt,Sn,,gamma-Al2O3,2,3.6,,,,550,540,540,,3.5,0.33,0.09,0.42,0.99,0.005,J. Ener. Chem. 27 (2018) 311,10.1016/j.jechem.2017.09.035,,-1.04575749056068
65,Pt,Cu,,SiO2,0.1,10,,,,,680,580,,4.7,1,1.54,0.43,0.94,0.005,"Chem. Sci., 2022,13, 9537-9543",https://doi.org/10.1039/D2SC03723H,single Pt atom,0.187520720836463
66,Pt,Mn,,SiO2,2.97,1.34,,,,,,550,,96.8,0,0.1,0.18,0.98,0.018,"J. Am. Chem. Soc., 2022, 144, 29, 13384",https://doi.org/10.1021/jacs.2c05618,,-1
67,Pt,Sn,,SiO2,3,1.83,,,,,800,500,,47,0,0.46,0.24,1,0.0263,J. Catal. 365 (2018) 277,https://doi.org/10.1016/j.jcat.2018.06.028,,-0.337242168318426
68,Cr,,,gamma-Al2O3,7.5,,,,,,,600,,2.16,,,0.67,0.89,,,,,
69,Cr,,,MCM-41,10,,,,,,,630,,1.1,,,0.5,0.9,,,,,
70,Co,,,Al2O3,5,,,,,,,590,,,,,0.25,0.97,,,,,
71,Zn,,,SiO2,3,,,,,,,500,,0.18,,,0.5,0.95,,,,,
72,Cr,,,SiO2,1.5,,,,,,,600,,,,,0.44,0.95,,,,,
73,Ga2O3,,,SBA_15,5,,,,,,,620,,0.6,,,0.5,0.9,,,,,
74,Co,Mg,,S-1,2,1.6,,,,,,550,,4.7,,,0.29,0.91,,,,,
75,Co,,,S-1,2,,,,,,,550,,4.7,,,0.29,0.25,,,,,
76,In2O3,,,,100,,,,,,,600,,,,,0.1,0.6,,,,,
77,Ga,,,SiO2,7,,,,,,,750,,,,,0.68,0.84,,,,,
78,Ga2O3,,,SiO2,5,,,,,,,600,,,,,0.06,0.92,,,,,
79,Ga2O3,,,,100,,,,,,,500,,,,,0.23,0.94,,,,,
80,Zn,,,S-1,5,,,,,,,575,,,,,0.67,0.98,,,,,
81,Zn,,,S-1,1,,,,,,,550,,,,,0.06,0.99,,,,,
82,Zn,,,S-1,3,,,,,,,550,,,,,0.41,0.94,,,,,
83,Zn,,,S-1,10,,,,,,,550,,,,,0.5,0.86,,,,,
84,Zn,,,H-ZSM5,5,,,,,,,550,,,,,0.66,0.4,,,,,
85,Ga,,,SiO2,3,,,,,,,550,,,,,0.1,0.95,,,,,
